response_time_sec,tab_switch_count,total_hidden_time_sec,hidden_time_ratio,paste_count,pasted_chars_total,paste_ratio,input_event_count,delete_count,max_pause_sec,max_input_burst_chars,copy_count,answer_length_chars,is_anomaly
209.886,0,0.0,0.0,0,0,0.0,44,8,7.613,10,0,471,0
230.91,6,86.164,0.37315,2,175,0.355691,22,2,24.018,165,0,492,1
42.804,1,3.476,0.081207,3,146,0.550943,5,4,4.98,90,1,265,1
198.377,7,71.933,0.362608,1,334,0.572899,24,1,119.923,188,0,583,1
174.302,1,3.801,0.021807,0,0,0.0,37,3,13.672,9,0,268,0
389.261,1,6.402,0.016447,0,0,0.0,73,4,11.724,17,0,724,0
64.085,0,0.0,0.0,1,1,0.009804,11,0,16.949,12,0,102,0
340.3,0,0.0,0.0,0,0,0.0,33,6,22.923,20,0,373,0
827.546,3,539.247,0.651622,1,140,0.130964,144,11,47.386,49,4,1069,1
376.052,1,2.066,0.005494,0,0,0.0,45,6,14.367,20,0,407,0
113.148,0,0.0,0.0,0,0,0.0,49,3,9.835,15,0,241,0
279.236,0,0.0,0.0,0,0,0.0,62,4,10.508,5,0,569,0
340.386,0,0.0,0.0,0,0,0.0,85,6,15.293,12,0,606,0
263.702,2,16.984,0.064406,0,0,0.0,60,3,5.968,28,1,294,0
233.528,0,0.0,0.0,0,0,0.0,47,5,3.499,38,0,374,0
114.393,0,0.0,0.0,0,0,0.0,48,2,15.273,47,0,293,0
251.787,2,113.696,0.451556,3,312,0.369231,31,0,68.827,145,1,845,1
166.213,0,0.0,0.0,0,0,0.0,29,2,9.022,22,1,306,0
234.761,0,0.0,0.0,0,0,0.0,79,4,5.446,7,0,412,0
317.394,1,3.872,0.012199,0,0,0.0,80,2,16.783,12,0,423,0
230.091,1,1.15,0.004998,1,17,0.037281,38,4,4.803,30,0,456,0
158.859,7,48.375,0.304515,1,136,0.355091,14,2,38.489,140,2,383,1
143.549,0,0.0,0.0,0,0,0.0,35,6,16.816,19,0,285,0
141.463,0,0.0,0.0,0,0,0.0,27,2,4.787,33,0,197,0
191.755,0,0.0,0.0,0,0,0.0,37,5,12.908,27,0,324,0
137.105,0,0.0,0.0,4,962,0.94685,18,1,58.026,763,0,1016,1
203.384,0,0.0,0.0,0,0,0.0,46,6,11.324,24,0,424,0
347.649,0,0.0,0.0,1,6,0.010889,49,7,13.971,4,0,551,0
1196.066,14,522.378,0.436747,1,58,0.054256,118,8,91.746,52,3,1069,1
328.226,0,0.0,0.0,0,0,0.0,45,3,17.542,15,0,319,0
160.576,0,0.0,0.0,0,0,0.0,40,2,8.985,17,0,291,0
151.716,0,0.0,0.0,0,0,0.0,40,3,16.037,33,0,314,0
161.577,1,1.26,0.007798,0,0,0.0,33,3,24.491,6,0,202,0
58.536,1,1.979,0.033808,0,0,0.0,27,2,5.319,12,0,141,0
100.451,0,0.0,0.0,0,0,0.0,24,0,14.625,21,0,265,0
560.633,9,451.33,0.805036,1,146,0.259325,37,4,450.264,81,2,563,1
352.433,0,0.0,0.0,0,0,0.0,53,2,17.231,18,1,528,0
495.09,0,0.0,0.0,0,0,0.0,103,12,27.989,86,0,1206,0
219.941,3,19.263,0.087583,2,670,0.496664,25,0,18.606,393,1,1349,1
102.781,0,0.0,0.0,0,0,0.0,26,5,10.619,38,0,135,0
67.554,1,21.373,0.316384,1,345,0.785877,13,0,11.339,203,1,439,1
221.671,0,0.0,0.0,0,0,0.0,35,4,12.862,10,0,398,0
456.814,1,10.027,0.02195,0,0,0.0,71,2,12.921,12,0,527,0
314.274,2,130.629,0.415653,3,177,0.333333,27,7,194.678,97,3,531,1
49.478,1,3.99,0.080642,0,0,0.0,13,3,9.177,6,0,102,0
180.248,0,0.0,0.0,0,0,0.0,60,2,16.585,17,0,419,0
254.086,0,0.0,0.0,0,0,0.0,90,5,11.172,23,0,678,0
102.385,1,17.468,0.170611,3,446,0.851145,13,3,58.724,418,1,524,1
62.037,4,15.6,0.251463,3,52,0.55914,10,5,49.078,238,1,93,1
120.517,0,0.0,0.0,3,372,0.53067,11,0,8.883,266,2,701,1
445.008,10,343.106,0.771011,0,0,0.0,48,5,181.273,6,1,491,1
202.781,0,0.0,0.0,0,0,0.0,20,5,26.021,8,0,185,0
243.093,0,0.0,0.0,0,0,0.0,84,6,36.851,5,0,641,0
301.126,6,101.914,0.338443,1,818,0.620167,43,3,32.41,630,1,1319,1
93.214,1,15.864,0.170189,3,496,0.921933,13,0,7.03,473,0,538,1
86.607,1,28.076,0.324177,3,229,0.604222,8,1,28.088,191,1,379,1
1133.657,5,501.448,0.442328,2,121,0.076101,151,12,62.809,68,2,1590,1
155.521,3,27.053,0.173951,4,564,0.534597,30,3,9.117,392,2,1055,1
252.365,0,0.0,0.0,2,15,0.023006,63,4,5.626,11,0,652,0
383.026,0,0.0,0.0,0,0,0.0,93,3,16.29,27,0,515,0
70.003,3,10.095,0.144208,3,161,0.596296,6,0,40.686,134,0,270,1
66.782,0,0.0,0.0,0,0,0.0,14,3,7.975,44,0,174,0
371.125,0,0.0,0.0,0,0,0.0,87,7,10.469,20,0,709,0
227.361,0,0.0,0.0,0,0,0.0,88,3,16.513,18,0,466,0
278.972,6,133.451,0.478367,3,324,0.483582,39,4,39.614,143,1,670,1
105.393,5,18.833,0.178693,3,112,0.324638,16,4,31.615,63,3,345,1
497.834,6,395.251,0.793941,1,192,0.371373,72,6,118.83,164,3,517,1
418.56,0,0.0,0.0,0,0,0.0,42,9,6.617,24,1,540,0
425.818,0,0.0,0.0,0,0,0.0,45,2,6.201,22,0,554,0
132.696,0,0.0,0.0,0,0,0.0,32,2,8.37,64,0,234,0
111.116,0,0.0,0.0,2,5,0.05102,19,3,6.738,15,0,98,0
382.534,5,106.878,0.279395,1,187,0.360308,44,8,380.328,106,1,519,1
117.659,0,0.0,0.0,0,0,0.0,46,4,15.193,28,0,375,0
133.155,0,0.0,0.0,0,0,0.0,40,5,17.989,15,0,294,0
145.06,0,0.0,0.0,0,0,0.0,29,5,5.058,26,0,251,0
829.523,0,0.0,0.0,0,0,0.0,91,8,20.689,31,0,985,0
402.767,0,0.0,0.0,0,0,0.0,129,7,15.231,16,0,864,0
146.236,0,0.0,0.0,0,0,0.0,23,3,6.74,8,0,250,0
730.687,5,342.393,0.468591,2,155,0.278276,63,4,53.559,94,1,557,1
329.112,0,0.0,0.0,0,0,0.0,92,6,34.132,6,0,654,0
95.577,0,0.0,0.0,0,0,0.0,18,4,9.371,14,0,162,0
332.023,0,0.0,0.0,1,7,0.012658,94,7,9.44,120,0,553,0
127.692,1,16.616,0.130126,0,0,0.0,31,1,12.019,17,0,241,0
193.677,0,0.0,0.0,0,0,0.0,104,7,29.548,34,0,536,0
137.94,0,0.0,0.0,0,0,0.0,20,5,14.235,6,0,258,0
282.221,0,0.0,0.0,0,0,0.0,84,3,14.099,20,0,466,0
89.134,0,0.0,0.0,0,0,0.0,25,0,11.881,37,0,211,0
268.292,0,0.0,0.0,2,68,0.117851,44,10,9.913,44,0,577,0
149.142,0,0.0,0.0,0,0,0.0,62,0,7.387,12,0,331,0
517.499,3,279.068,0.539263,2,151,0.397368,64,3,29.178,112,3,380,1
106.743,0,0.0,0.0,0,0,0.0,52,2,7.687,7,0,241,0
213.053,0,0.0,0.0,0,0,0.0,66,7,42.479,22,0,596,0
172.111,0,0.0,0.0,0,0,0.0,47,3,2.99,19,0,328,0
826.874,9,610.848,0.738744,2,221,0.272503,49,7,96.728,75,0,811,1
81.726,0,0.0,0.0,0,0,0.0,20,4,7.678,30,1,224,0
318.998,0,0.0,0.0,0,0,0.0,83,5,5.317,29,0,640,0
111.755,0,0.0,0.0,1,11,0.047009,46,2,16.696,20,0,234,0
500.672,0,0.0,0.0,0,0,0.0,136,9,8.383,27,0,954,0
578.234,6,201.995,0.349331,1,52,0.147727,33,3,49.073,24,2,352,1
576.911,5,169.34,0.293529,0,0,0.0,18,5,91.392,20,4,232,1
426.078,12,294.932,0.692202,1,35,0.081206,56,3,150.132,19,3,431,1
141.266,0,0.0,0.0,0,0,0.0,37,4,5.264,11,0,344,0
194.1,0,0.0,0.0,0,0,0.0,31,2,20.953,43,0,242,0
249.723,1,5.469,0.0219,1,26,0.044521,59,7,40.262,12,0,584,0
385.581,4,151.767,0.393606,3,960,0.460653,67,2,52.787,822,2,2084,1
390.246,7,234.882,0.601882,2,68,0.274194,29,7,41.641,38,2,248,1
64.139,0,0.0,0.0,1,272,0.474695,13,1,27.509,166,2,573,1
299.688,0,0.0,0.0,0,0,0.0,36,5,15.893,14,0,319,0
302.126,1,1.816,0.006011,0,0,0.0,61,8,13.795,16,0,419,0
327.551,0,0.0,0.0,0,0,0.0,40,4,12.413,27,0,439,0
210.687,0,0.0,0.0,0,0,0.0,43,3,14.555,14,0,420,0
220.324,2,46.651,0.211738,3,973,0.884545,28,3,6.963,881,0,1100,1
108.486,0,0.0,0.0,2,374,0.471627,18,2,17.301,280,1,793,1
71.248,1,10.402,0.145997,1,400,0.904977,11,3,26.009,337,0,442,1
163.848,0,0.0,0.0,0,0,0.0,21,3,12.078,44,0,228,0
46.818,0,0.0,0.0,0,0,0.0,9,0,17.342,20,0,62,0
442.567,6,327.616,0.740263,0,0,0.0,20,5,30.068,58,0,246,1
150.174,0,0.0,0.0,1,11,0.052133,35,2,14.836,25,0,211,0
149.512,0,0.0,0.0,0,0,0.0,46,8,7.53,18,0,278,0
237.29,0,0.0,0.0,0,0,0.0,44,5,10.042,11,0,488,0
257.447,0,0.0,0.0,0,0,0.0,30,6,2.796,27,0,334,0
143.749,3,39.704,0.276204,3,787,0.858233,24,2,21.09,460,0,917,1
179.965,1,0.9,0.005001,0,0,0.0,43,4,7.884,20,1,377,0
184.352,0,0.0,0.0,1,10,0.041841,24,1,4.689,14,0,239,0
232.725,1,1.164,0.005002,1,27,0.050467,71,6,5.548,44,0,535,0
407.651,2,97.003,0.237956,3,726,0.33,57,4,28.778,680,1,2200,1
243.798,1,3.611,0.014811,0,0,0.0,50,6,11.936,12,0,607,0
170.96,5,74.537,0.435991,1,235,0.34712,25,1,300.0,125,3,677,1
453.373,0,0.0,0.0,0,0,0.0,52,4,7.762,51,0,556,0
52.491,3,4.008,0.076356,3,363,0.881068,9,1,8.395,359,3,412,1
363.13,2,10.482,0.028866,0,0,0.0,103,3,4.337,27,0,857,0
342.899,8,178.831,0.521527,1,28,0.194444,15,4,38.981,30,2,144,1
677.726,2,7.704,0.011367,0,0,0.0,61,6,26.486,9,0,776,0
275.568,0,0.0,0.0,1,7,0.015982,53,5,29.242,15,0,438,0
583.558,0,0.0,0.0,0,0,0.0,80,6,5.244,34,0,918,0
291.673,4,120.171,0.412006,3,580,0.45066,108,4,16.668,449,1,1287,1
416.215,0,0.0,0.0,0,0,0.0,106,1,31.445,16,0,534,0
137.531,1,20.462,0.148781,0,0,0.0,34,5,2.772,57,0,356,0
197.755,0,0.0,0.0,0,0,0.0,28,3,23.151,20,0,355,0
113.155,0,0.0,0.0,0,0,0.0,25,4,8.551,13,0,261,0
178.965,1,2.225,0.012433,0,0,0.0,31,0,9.531,15,0,249,0
136.805,0,0.0,0.0,0,0,0.0,33,6,11.364,10,0,342,0
209.734,0,0.0,0.0,0,0,0.0,76,4,6.777,25,0,490,0
241.46,1,6.242,0.025851,0,0,0.0,49,7,10.805,12,0,606,0
1062.289,6,559.215,0.526425,0,0,0.0,77,6,48.306,16,2,823,1
342.764,1,25.588,0.074652,0,0,0.0,96,7,20.13,15,0,571,0
424.174,8,146.62,0.34566,0,0,0.0,25,2,113.813,28,3,317,1
336.003,0,0.0,0.0,0,0,0.0,115,4,30.961,19,0,734,0
196.401,0,0.0,0.0,0,0,0.0,28,2,30.767,72,0,238,0
216.913,0,0.0,0.0,0,0,0.0,45,8,4.491,11,0,549,0
241.977,0,0.0,0.0,0,0,0.0,29,2,22.94,18,0,265,0
305.056,0,0.0,0.0,1,7,0.010014,57,5,9.194,9,0,699,0
68.863,1,14.754,0.214251,1,147,0.890909,10,1,20.502,102,2,165,1
226.835,1,3.207,0.014138,0,0,0.0,36,3,18.101,12,0,323,0
129.549,0,0.0,0.0,0,0,0.0,42,5,3.635,13,0,198,0
104.41,1,9.401,0.090039,4,676,0.814458,30,0,31.105,372,1,830,1
76.438,1,12.8,0.167456,1,165,0.551839,14,2,27.232,94,0,299,1
284.535,0,0.0,0.0,0,0,0.0,64,10,24.199,49,0,666,0
177.376,1,7.276,0.04102,0,0,0.0,54,5,23.311,17,0,291,0
156.939,0,0.0,0.0,0,0,0.0,31,6,6.302,17,0,238,0
207.112,0,0.0,0.0,0,0,0.0,62,2,9.715,42,0,458,0
266.303,0,0.0,0.0,0,0,0.0,47,2,9.777,11,0,355,0
174.687,3,79.74,0.456474,3,68,0.231293,29,2,29.107,82,0,294,1
43.882,2,6.19,0.14106,1,350,0.804598,18,2,21.449,304,2,435,1
115.141,0,0.0,0.0,1,495,0.679945,19,3,17.49,303,3,728,1
113.337,1,5.137,0.045325,2,2,0.010101,21,3,2.159,37,0,198,0
233.647,0,0.0,0.0,0,0,0.0,44,2,10.629,57,0,510,0
198.227,1,17.855,0.090074,0,0,0.0,46,2,3.135,73,0,369,0
125.325,0,0.0,0.0,0,0,0.0,42,3,18.049,12,1,296,0
1232.818,8,833.853,0.67638,0,0,0.0,88,13,127.165,47,2,1283,1
300.724,0,0.0,0.0,0,0,0.0,29,5,3.075,32,0,337,0
64.701,0,0.0,0.0,0,0,0.0,18,4,7.904,16,0,79,0
248.543,1,11.008,0.04429,1,33,0.046676,97,3,16.323,13,0,707,0
139.873,0,0.0,0.0,0,0,0.0,31,7,23.673,36,0,281,0
209.978,0,0.0,0.0,0,0,0.0,40,7,7.733,5,0,481,0
139.675,1,19.895,0.142438,0,0,0.0,51,8,30.859,34,0,347,0
100.483,5,21.781,0.216763,1,79,0.438889,13,4,28.261,162,1,180,1
193.279,0,0.0,0.0,0,0,0.0,52,5,3.167,39,0,283,0
216.977,0,0.0,0.0,0,0,0.0,61,4,9.677,25,0,348,0
164.89,0,0.0,0.0,0,0,0.0,20,7,8.856,19,0,205,0
100.864,0,0.0,0.0,0,0,0.0,25,6,13.914,18,0,272,0
157.484,0,0.0,0.0,1,50,0.157729,66,3,16.996,23,0,317,0
119.059,0,0.0,0.0,0,0,0.0,56,7,24.841,14,0,390,0
219.431,0,0.0,0.0,0,0,0.0,24,8,11.787,34,0,285,0
165.257,0,0.0,0.0,0,0,0.0,29,1,7.155,84,0,191,0
1138.088,5,661.187,0.580963,1,324,0.382979,67,4,49.659,196,2,846,1
310.3,0,0.0,0.0,0,0,0.0,74,5,12.728,27,0,868,0
236.56,0,0.0,0.0,0,0,0.0,33,3,17.926,17,0,333,0
128.849,0,0.0,0.0,1,9,0.030717,35,3,22.519,11,0,293,0
94.581,0,0.0,0.0,0,0,0.0,27,3,7.542,5,0,271,0
163.323,1,10.284,0.062967,0,0,0.0,60,5,4.963,11,0,494,0
99.161,2,27.088,0.273172,1,291,0.540892,24,3,31.233,228,1,538,1
187.319,0,0.0,0.0,0,0,0.0,37,3,3.026,7,0,246,0
45.294,2,7.087,0.156467,3,217,0.588076,16,0,31.442,147,1,369,1
92.889,6,18.814,0.202543,3,89,0.489011,15,6,182.572,65,1,182,1
289.986,0,0.0,0.0,0,0,0.0,57,7,8.951,18,0,419,0
94.128,0,0.0,0.0,0,0,0.0,16,0,9.346,29,1,132,0
235.266,0,0.0,0.0,2,37,0.056923,108,4,13.08,13,0,650,0
450.906,7,273.972,0.607603,0,0,0.0,39,5,29.272,26,3,555,1
164.333,2,8.952,0.054475,0,0,0.0,62,3,30.316,9,0,378,0
115.005,0,0.0,0.0,0,0,0.0,33,5,43.664,16,0,210,0
425.5,0,0.0,0.0,1,37,0.04602,74,11,10.232,33,0,804,0
135.389,0,0.0,0.0,0,0,0.0,29,1,8.484,8,0,180,0
310.192,0,0.0,0.0,0,0,0.0,67,11,18.298,9,0,789,0
225.618,0,0.0,0.0,0,0,0.0,28,5,7.124,8,0,307,0
230.411,0,0.0,0.0,0,0,0.0,88,11,4.178,22,0,477,0
153.555,1,12.449,0.081072,0,0,0.0,41,6,12.041,17,0,441,0
178.589,0,0.0,0.0,1,29,0.077333,42,8,23.439,67,0,375,0
203.094,1,2.629,0.012945,0,0,0.0,38,1,42.748,62,0,347,0
167.735,0,0.0,0.0,0,0,0.0,24,3,12.645,20,0,259,0
251.469,1,3.299,0.013119,0,0,0.0,77,6,6.482,16,0,450,0
81.786,2,19.0,0.232314,3,356,0.760684,14,0,16.366,234,0,468,1
257.202,0,0.0,0.0,0,0,0.0,58,2,11.991,20,0,445,0
203.163,0,0.0,0.0,1,26,0.052525,40,4,8.603,45,0,495,0
285.495,0,0.0,0.0,0,0,0.0,127,5,5.015,18,0,638,0
155.549,0,0.0,0.0,0,0,0.0,35,3,28.975,48,0,356,0
640.397,0,0.0,0.0,0,0,0.0,115,5,34.517,28,0,871,0
229.129,0,0.0,0.0,0,0,0.0,87,4,16.002,9,0,430,0
226.11,6,104.333,0.461426,2,382,0.405951,71,3,51.971,157,1,941,1
359.381,3,149.964,0.417284,1,540,0.649038,38,1,19.142,302,1,832,1
128.747,1,17.434,0.135413,0,0,0.0,57,5,2.526,120,0,311,0
332.816,0,0.0,0.0,0,0,0.0,60,10,20.144,11,0,443,0
146.954,0,0.0,0.0,0,0,0.0,26,1,7.037,10,0,254,0
139.152,0,0.0,0.0,0,0,0.0,31,3,13.254,5,0,243,0
211.134,6,102.497,0.485459,3,186,0.343173,15,2,41.834,126,1,542,1
88.285,2,6.587,0.074611,1,8,0.036697,20,5,12.975,44,0,218,0
39.477,1,8.435,0.213669,2,196,0.777778,10,1,14.456,188,1,252,1
258.004,1,20.572,0.079735,0,0,0.0,52,2,10.508,18,0,373,0
151.492,1,0.757,0.004997,0,0,0.0,39,5,15.436,45,0,213,0
114.227,0,0.0,0.0,0,0,0.0,27,3,8.834,7,0,213,0
244.877,0,0.0,0.0,0,0,0.0,31,7,17.277,30,0,297,0
72.282,0,0.0,0.0,4,155,0.615079,10,3,62.61,97,2,252,1
192.717,3,70.962,0.368219,2,452,0.558714,42,4,20.745,349,1,809,1
30.047,0,0.0,0.0,2,100,0.884956,8,2,8.945,59,1,113,1
77.668,3,34.87,0.448962,1,113,0.607527,11,2,38.151,111,2,186,1
143.605,0,0.0,0.0,0,0,0.0,34,4,15.299,20,0,173,0
159.447,0,0.0,0.0,1,17,0.077982,37,4,5.714,29,0,218,0
255.308,1,41.665,0.163195,0,0,0.0,75,1,15.7,16,0,449,0
103.728,1,0.643,0.006199,0,0,0.0,40,4,21.139,103,0,259,0
274.934,0,0.0,0.0,0,0,0.0,39,5,5.685,22,0,444,0
312.338,1,16.819,0.053849,0,0,0.0,122,6,27.535,7,0,637,0
42.644,1,14.444,0.338711,1,101,0.545946,9,2,35.831,78,3,185,1
48.433,3,4.283,0.088431,4,258,0.969925,5,2,16.249,179,0,266,1
171.355,2,46.35,0.270491,4,557,0.518622,20,0,3.0,489,0,1074,1
320.301,1,16.67,0.052045,0,0,0.0,35,4,7.805,14,1,379,0
461.298,8,137.305,0.297649,0,0,0.0,25,2,89.058,28,2,238,1
507.955,0,0.0,0.0,1,11,0.018676,59,6,27.115,7,0,589,0
291.266,0,0.0,0.0,1,7,0.009642,68,8,11.665,58,0,726,0
177.761,1,2.323,0.013068,1,33,0.093484,24,5,6.935,23,0,353,0
132.439,0,0.0,0.0,0,0,0.0,26,5,14.07,11,0,254,0
237.384,0,0.0,0.0,0,0,0.0,78,5,31.602,13,0,417,0
40.11,3,3.042,0.075841,3,151,0.699074,10,2,22.249,106,0,216,1
153.782,1,0.769,0.005001,0,0,0.0,28,1,14.415,8,0,203,0
772.072,12,472.442,0.611914,0,0,0.0,56,0,535.943,45,1,439,1
281.865,6,173.469,0.615433,2,20,0.253165,15,2,43.109,60,2,79,1
134.206,0,0.0,0.0,0,0,0.0,50,3,21.194,7,0,275,0
115.008,0,0.0,0.0,0,0,0.0,23,3,5.085,6,0,166,0
80.557,3,27.76,0.344601,1,224,0.479657,12,7,6.957,191,0,467,1
512.34,11,294.638,0.575083,0,0,0.0,62,8,25.0,36,2,417,1
199.22,2,48.347,0.242681,4,1543,0.773434,25,5,5.397,850,3,1995,1
214.109,0,0.0,0.0,0,0,0.0,49,5,18.254,29,0,611,0
76.937,0,0.0,0.0,0,0,0.0,19,1,4.202,11,0,149,0
291.669,0,0.0,0.0,1,7,0.013752,43,2,7.047,64,0,509,0
88.795,0,0.0,0.0,0,0,0.0,21,2,13.979,12,0,155,0
724.385,11,296.548,0.409379,0,0,0.0,59,6,104.789,156,0,839,1
122.137,0,0.0,0.0,0,0,0.0,30,1,10.191,11,1,232,0
372.997,2,19.733,0.052904,1,24,0.056075,55,4,15.148,57,0,428,0
